"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level7"
"3","ALGERIA","level6"
"4","AMERICAN SAMOA","level3"
"5","ANDORRA","level2"
"6","ANGOLA","level7"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level6"
"9","ARMENIA","level2"
"10","ARUBA","level6"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level1"
"13","AZERBAIJAN","level6"
"14","BAHRAIN","level13"
"15","BANGLADESH","level16"
"16","BARBADOS","level2"
"17","BELARUS","level6"
"18","BELGIUM","level12"
"19","BELIZE","level3"
"20","BENIN","level14"
"21","BERMUDA","level6"
"22","BHUTAN","level2"
"23","BOLIVIA","level7"
"24","BOSNIA HERZEGOVINA","level10"
"25","BOTSWANA","level6"
"26","BR. VIRGIN ISLAND","level16"
"27","BRAZIL","level7"
"28","BRUNEI","level2"
"29","BULGARIA","level2"
"30","BURKINA FASO","level3"
"31","BURUNDI","level10"
"32","CAMBODIA","level11"
"33","CAMEROON","level3"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level6"
"37","CENTRAL AFRICAN REP","level2"
"38","CHAD","level3"
"39","CHILE","level13"
"40","CHINA","level3"
"41","COLOMBIA","level10"
"42","COMOROS","level3"
"43","CONGO","level2"
"44","COSTA RICA","level6"
"45","CROATIA","level6"
"46","CUBA","level1"
"47","CYPRUS","level8"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level10"
"50","DENMARK","level10"
"51","DJIBOUTI","level6"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level1"
"55","EGYPT","level6"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level1"
"58","ERITREA","level3"
"59","ESTONIA","level10"
"60","ETHIOPIA","level6"
"61","FAEROE ISLANDS","level2"
"62","FIJI","level6"
"63","FINLAND","level1"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level8"
"68","GEORGIA","level2"
"69","GERMANY","level3"
"70","GHANA","level10"
"71","GIBRALTAR","level10"
"72","GREECE","level10"
"73","GREENLAND","level2"
"74","GUADELOUPE","level13"
"75","GUATEMALA","level2"
"76","GUERNSEY","level2"
"77","GUINEA","level6"
"78","GUINEA-BISSAU","level6"
"79","GUYANA","level2"
"80","HAITI","level6"
"81","HONDURAS","level3"
"82","HONG KONG","level6"
"83","HUNGARY","level10"
"84","ICELAND","level10"
"85","INCONNU","level2"
"86","INDIA","level10"
"87","INDONESIA","level2"
"88","IRAN","level9"
"89","IRAQ","level6"
"90","IRELAND","level2"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level2"
"93","ITALY","level2"
"94","IVORY COAST","level9"
"95","JAMAICA","level11"
"96","JAPAN","level1"
"97","JERSEY","level13"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level3"
"100","KENYA","level6"
"101","KOSOVO","level14"
"102","KUWAIT","level11"
"103","KYRGYZSTAN","level7"
"104","LAOS","level7"
"105","LATVIA","level8"
"106","LEBANON","level4"
"107","LESOTHO","level6"
"108","LIBERIA","level2"
"109","LIBYA","level7"
"110","LITHUANIA","level2"
"111","LUXEMBOURG","level1"
"112","MACAU","level10"
"113","MACEDONIA (FYROM)","level2"
"114","MADAGASCAR","level1"
"115","MALAWI","level10"
"116","MALAYSIA","level1"
"117","MALDIVES","level6"
"118","MALI","level3"
"119","MALTA","level6"
"120","MARTINIQUE","level9"
"121","MAURITANIA","level10"
"122","MAURITIUS","level10"
"123","MAYOTTE","level11"
"124","MEXICO","level9"
"125","MOLDOVA","level19"
"126","MONACO","level2"
"127","MONGOLIA","level1"
"128","MONTENEGRO","level15"
"129","MOROCCO","level6"
"130","MOZAMBIQUE","level1"
"131","MYANMAR","level13"
"132","NAMIBIA","level1"
"133","NEPAL","level6"
"134","NETHERLANDS","level14"
"135","NETHERLANDS ANTILLES","level10"
"136","NEW CALEDONIA","level7"
"137","NEW ZEALAND","level10"
"138","NICARAGUA","level1"
"139","NIGER","level10"
"140","NIGERIA","level2"
"141","NORTH KOREA","level12"
"142","NORWAY","level12"
"143","OMAN","level1"
"144","PAKISTAN","level11"
"145","PALESTINIAN TERRIT.","level4"
"146","PANAMA","level7"
"147","PAPUA NEW GUINEA","level2"
"148","PARAGUAY","level1"
"149","PERU","level1"
"150","PHILIPPINES","level2"
"151","PITCAIRN ISLANDS","level6"
"152","POLAND","level17"
"153","PORTUGAL","level6"
"154","PUERTO RICO","level12"
"155","QATAR","level3"
"156","REUNION","level1"
"157","ROMANIA","level10"
"158","RUSSIA","level1"
"159","RWANDA","level3"
"160","SAINT LUCIA","level10"
"161","SAMOA","level2"
"162","SAO TOME & PRINC.","level12"
"163","SAUDI ARABIA","level4"
"164","SENEGAL","level10"
"165","SERBIA","level6"
"166","SERBIA MONTENEGRO","level14"
"167","SEYCHELLES","level6"
"168","SIERRA LEONE","level1"
"169","SINGAPORE","level3"
"170","SLOVAKIA","level3"
"171","SLOVENIA","level3"
"172","SOLOMON ISLANDS","level2"
"173","SOMALIA","level6"
"174","SOUTH AFRICA","level15"
"175","SOUTH KOREA","level14"
"176","SOUTH SUDAN","level3"
"177","SPAIN","level1"
"178","SRI LANKA","level10"
"179","ST VINCENT & GREN.","level15"
"180","SUDAN","level3"
"181","SURINAME","level15"
"182","SWAZILAND","level10"
"183","SWEDEN","level2"
"184","SWITZERLAND","level12"
"185","SYRIA","level2"
"186","TAIWAN","level3"
"187","TAJIKISTAN","level2"
"188","TANZANIA","level10"
"189","THAILAND","level4"
"190","THE BAHAMAS","level10"
"191","THE GAMBIA","level6"
"192","TIMOR-LESTE","level3"
"193","TOGO","level7"
"194","TONGA","level15"
"195","TRINIDAD AND TOBAGO","level2"
"196","TUNISIA","level10"
"197","TURKEY","level6"
"198","TURKMENISTAN","level2"
"199","TURKS & CAICOS","level2"
"200","UGANDA","level15"
"201","UKRAINE","level5"
"202","UNITED ARAB EMIRATES","level6"
"203","UNITED KINGDOM","level5"
"204","URUGUAY","level1"
"205","US MINOR OUT. ISL.","level2"
"206","US VIRGIN ISLANDS","level5"
"207","USA","level5"
"208","UZBEKISTAN","level1"
"209","VANUATU","level18"
"210","VENEZUELA","level2"
"211","VIETNAM","level1"
"212","WALLIS AND FUTUNA","level16"
"213","YEMEN","level13"
"214","ZAMBIA","level2"
"215","ZIMBABWE","level1"
"216","ZZ_FRANCE","level6"
