"","pays_expat","group_pays_freq"
"1","AFGHANISTAN","level2"
"2","ALBANIA","level6"
"3","ALGERIA","level2"
"4","AMERICAN SAMOA","level3"
"5","ANDORRA","level2"
"6","ANGOLA","level13"
"7","ANTIGUA AND BARBUDA","level1"
"8","ARGENTINA","level2"
"9","ARMENIA","level2"
"10","ARUBA","level13"
"11","AUSTRALIA","level1"
"12","AUSTRIA","level1"
"13","AZERBAIJAN","level2"
"14","BAHRAIN","level1"
"15","BANGLADESH","level1"
"16","BARBADOS","level2"
"17","BELARUS","level13"
"18","BELGIUM","level10"
"19","BELIZE","level11"
"20","BENIN","level15"
"21","BERMUDA","level13"
"22","BHUTAN","level2"
"23","BOLIVIA","level6"
"24","BOSNIA HERZEGOVINA","level2"
"25","BOTSWANA","level2"
"26","BR. VIRGIN ISLAND","level4"
"27","BRAZIL","level6"
"28","BRUNEI","level2"
"29","BULGARIA","level2"
"30","BURKINA FASO","level3"
"31","BURUNDI","level11"
"32","CAMBODIA","level9"
"33","CAMEROON","level3"
"34","CANADA","level2"
"35","CAPE VERDE","level2"
"36","CAYMAN ISLANDS","level13"
"37","CENTRAL AFRICAN REP","level11"
"38","CHAD","level3"
"39","CHILE","level14"
"40","CHINA","level3"
"41","COLOMBIA","level2"
"42","COMOROS","level11"
"43","CONGO","level2"
"44","COSTA RICA","level13"
"45","CROATIA","level13"
"46","CUBA","level1"
"47","CYPRUS","level7"
"48","CZECH REPUBLIC","level3"
"49","DEM. REP. CONGO","level11"
"50","DENMARK","level2"
"51","DJIBOUTI","level2"
"52","DOMINICA","level2"
"53","DOMINICAN REPUBLIC","level1"
"54","ECUADOR","level1"
"55","EGYPT","level13"
"56","EL SALVADOR","level2"
"57","EQUATORIAL GUINEA","level1"
"58","ERITREA","level11"
"59","ESTONIA","level2"
"60","ETHIOPIA","level13"
"61","FAEROE ISLANDS","level2"
"62","FIJI","level2"
"63","FINLAND","level1"
"64","FR. SOUTHERN TERRIT.","level2"
"65","FRENCH GUIANA","level3"
"66","FRENCH POLYNESIA","level2"
"67","GABON","level7"
"68","GEORGIA","level2"
"69","GERMANY","level3"
"70","GHANA","level2"
"71","GIBRALTAR","level11"
"72","GREECE","level11"
"73","GREENLAND","level2"
"74","GUADELOUPE","level14"
"75","GUATEMALA","level2"
"76","GUERNSEY","level2"
"77","GUINEA","level13"
"78","GUINEA-BISSAU","level2"
"79","GUYANA","level2"
"80","HAITI","level13"
"81","HONDURAS","level11"
"82","HONG KONG","level13"
"83","HUNGARY","level2"
"84","ICELAND","level2"
"85","INCONNU","level2"
"86","INDIA","level11"
"87","INDONESIA","level2"
"88","IRAN","level8"
"89","IRAQ","level13"
"90","IRELAND","level2"
"91","ISLE OF MAN","level20"
"92","ISRAEL","level2"
"93","ITALY","level2"
"94","IVORY COAST","level5"
"95","JAMAICA","level9"
"96","JAPAN","level13"
"97","JERSEY","level14"
"98","JORDAN","level2"
"99","KAZAKHSTAN","level3"
"100","KENYA","level13"
